Ticker,Name,Sector,Price,MarketCap_B,PE,Forward_PE,PB,ROE_%,D/E,DebtRatio_%,PEG,EV/EBITDA,DivYield_%,FCF_B,RevGrowth_%,6M_Chg_%,RSI,Beta
SMCI,"Super Micro Computer, Inc.",Technology,21.97,13.2,16.0,7.3,1.9,13.2,75.3,,,13.1,,0.1,123.4,-52.6,25.2,1.49
SNOW,Snowflake Inc.,Technology,152.8,52.8,62.8,62.8,27.3,-53.9,142.5,,,-40.0,,1.59,30.1,-32.2,25.6,1.21
SO,Southern Company (The),Utilities,95.55,107.0,24.4,19.4,3.0,11.0,190.6,,,13.1,310.0,-3.46,10.1,3.4,42.7,0.41
T,AT&T Inc.,Communication Services,29.1,203.7,9.6,11.4,1.9,18.8,124.2,,,8.2,381.0,12.59,3.6,6.0,71.4,0.58
TEAM,Atlassian Corporation,Technology,65.12,17.2,11.8,11.8,10.9,-13.5,76.4,,,-731.9,,1.52,23.3,-60.6,21.4,0.98
TSM,Taiwan Semiconductor Manufactur,Technology,326.74,1694.6,31.5,18.2,50.0,35.1,19.6,,,2.5,108.0,643.45,20.5,20.2,38.9,1.28
TTD,"The Trade Desk, Inc.",Communication Services,21.28,10.1,23.6,8.9,4.1,16.3,17.6,,,13.4,,0.6,14.3,-57.1,14.0,1.19
TXN,Texas Instruments Incorporated,Technology,190.33,173.3,35.0,24.1,10.6,30.1,90.8,,,22.7,298.0,-0.3,10.4,5.5,42.4,0.98
UNH,UnitedHealth Group Incorporated,Healthcare,259.02,235.1,19.6,13.0,2.5,12.5,81.6,,,13.8,341.0,13.86,12.3,-23.9,27.6,0.38
V,Visa Inc.,Financial Services,295.52,569.8,27.8,20.3,14.8,54.0,54.6,,,19.6,91.0,22.03,14.6,-12.8,25.7,0.79
VEEV,Veeva Systems Inc.,Healthcare,172.59,28.4,31.7,17.5,3.9,13.9,1.3,,,22.1,,1.05,16.0,-41.1,24.1,1.12
VZ,Verizon Communications Inc.,Communication Services,50.31,212.2,12.4,9.6,2.0,17.1,174.8,,,7.6,563.0,17.24,2.0,20.4,48.8,0.28
WDAY,"Workday, Inc.",Technology,124.18,32.7,47.8,10.0,4.1,8.2,49.0,,,22.1,,3.01,14.5,-49.9,19.6,1.17
WMT,Walmart Inc.,Consumer Defensive,122.89,979.7,45.0,37.4,9.8,21.8,64.4,,,23.7,81.0,10.55,5.6,19.7,46.7,0.66
WST,"West Pharmaceutical Services, I",Healthcare,243.35,17.5,35.8,27.5,5.5,16.9,10.3,,,21.1,36.0,0.27,7.5,-6.4,45.9,1.18
XLE,State Street Energy Select Sect,N/A,62.56,11.7,24.0,,1.2,,,,,,262.0,,,39.7,86.8,
XOM,Exxon Mobil Corporation,Energy,170.99,712.5,25.5,18.6,2.8,11.1,18.9,,,12.8,241.0,12.23,-1.3,52.0,82.3,0.35
