ticker,prediction_date,direction,expected_return_pct,timeframe_days,entry_price,target_price,hit_target,days_to_hit,first_hit_date,max_favorable_pct,max_adverse_pct,max_drawdown_pct,final_return_pct,final_date,final_price,success,pred_direction,pred_score,pred_confidence
0700.HK,2024-01-15,漲,10,180,284.44,312.88,True,98,2024-04-22,38.37,-9.4,-9.4,38.37,2024-07-12,393.56,True,看漲,3,中高
1810.HK,2024-01-15,跌,10,180,14.24,12.82,True,16,2024-01-31,14.89,-40.31,-19.32,18.26,2024-07-12,16.84,True,看跌,-2,中
0388.HK,2024-01-15,漲,10,180,231.9,255.09,True,116,2024-05-10,19.91,-13.0,-18.93,3.05,2024-07-12,238.98,True,看漲,4,中高
3690.HK,2024-01-15,跌,10,180,75.1,67.59,True,7,2024-01-22,16.71,-67.24,-16.71,62.18,2024-07-12,121.8,True,看跌,-3,中
1024.HK,2024-01-15,漲,10,180,47.79,52.56,True,100,2024-04-24,29.31,-18.71,-28.05,2.18,2024-07-12,48.83,True,強烈看漲,5,高
0027.HK,2024-01-15,漲,10,180,38.32,42.15,True,32,2024-02-16,12.58,-16.4,-25.74,-12.55,2024-07-12,33.51,True,強烈看漲,5,高
2020.HK,2024-01-15,漲,10,180,70.11,77.12,True,66,2024-03-21,26.79,-13.43,-25.63,4.06,2024-07-12,72.96,True,強烈看漲,5,高
0175.HK,2024-01-15,漲,10,180,7.7,8.47,True,57,2024-03-12,32.5,-8.59,-21.63,7.28,2024-07-12,8.26,True,看漲,4,中高
1211.HK,2024-01-15,跌,10,180,67.16,60.45,True,14,2024-01-29,16.97,-21.05,-16.97,21.05,2024-07-12,81.3,True,強烈看跌,-7,高
